team,series,label,mean,min,max,sigma2,sigma,p50
Atlanta Falcons,st,Special Teams,0,-0.3,0.4,0.04588235294117647,0.214201664188625,0
Arizona Cardinals,st,Special Teams,4.222133460159897e-18,-0.8,0.4,0.07607843137254902,0.2758231886055794,0.1
Houston Texans,st,Special Teams,0.023076923076923078,-0.4,0.2,0.021809954751131223,0.1476819377958294,0.05
San Francisco 49ers,st,Special Teams,0.025000000000000005,-0.4,0.4,0.07995098039215687,0.2827560439533643,0.1
New Orleans Saints,st,Special Teams,0.049999999999999996,-0.8,0.3,0.11588235294117648,0.34041497167600676,0.2
Miami Dolphins,st,Special Teams,0.05192307692307692,-0.7,0.7,0.1327413273001508,0.36433683220359536,-0
Washington,st,Special Teams,0.06346153846153846,-0.2,0.4,0.032168174962292614,0.17935488552669152,0.1
Dallas Cowboys,st,Special Teams,0.09615384615384616,-0.7,1.2,0.3352790346907994,0.5790328442245737,0.1
Las Vegas Raiders,st,Special Teams,0.15576923076923077,-0.2,0.9,0.13349547511312218,0.3653703259887455,-0
Detroit Lions,st,Special Teams,0.1576923076923077,-0.1,0.4,0.023273001508295626,0.152554913091305,0.1
Jacksonville Jaguars,st,Special Teams,0.16538461538461538,-0.1,0.5,0.020739064856711915,0.1440106414703855,0.2
Seattle Seahawks,st,Special Teams,0.2057692307692308,-0.2,0.6,0.028789592760180994,0.16967496208981747,0.2
Cincinnati Bengals,st,Special Teams,0.23846153846153847,-0.3,0.6,0.03574660633484163,0.18906772949089337,0.3
New England Patriots,st,Special Teams,0.3980769230769231,-0.2,0.9,0.04058446455505279,0.2014558625482336,0.4
Buffalo Bills,st,Special Teams,0.5634615384615385,-0.2,1.6,0.35216817496229263,0.5934375914637466,0.7
Baltimore Ravens,st,Special Teams,0.5884615384615385,0.1,1.2,0.06417797888386124,0.253333730252924,0.5
